,Language,Count
1,6,1071
2,Assembly,1823
3,Basic,1071
4,C,29954
5,Clojure,391
6,CoffeeScript,1192
7,Common,273
8,Dart,145
9,Elixir,380
10,Erlang,281
11,F,457
12,Go,1557
13,Groovy,1193
14,Hack,107
15,Haskell,649
16,Java,14524
17,JavaScript,22875
18,Julia,138
19,Lisp,273
20,Lua,1039
21,Matlab,1569
22,Objective,2349
23,PHP,10290
24,Perl,1585
25,Python,11704
26,R,1634
27,Ruby,3324
28,Rust,416
29,SQL,18754
30,Scala,1309
31,Smalltalk,327
32,Swift,2368
33,TypeScript,3488
34,VB.NET,2273
35,VBA,1574
36,Visual,1071
